iddesignacion;desde;hasta;idtipodesignacion;nroplaca
697;1993-01-01;1998-01-01;2;362
698;1991-01-01;1996-01-01;2;821
699;1994-01-01;1997-01-01;2;998
700;1993-01-01;1998-01-01;2;642
701;1991-01-01;1999-01-01;2;442
702;1995-01-01;1998-01-01;2;77
703;1994-01-01;1999-01-01;2;945
704;1995-01-01;1999-01-01;2;312
705;1995-01-01;1996-01-01;2;756
706;1995-01-01;1996-01-01;2;854
707;1994-01-01;1996-01-01;2;374
708;1993-01-01;1998-01-01;2;93
709;1992-01-01;1996-01-01;2;890
710;1991-01-01;1996-01-01;2;334
711;1991-01-01;1999-01-01;2;528
712;1992-01-01;1996-01-01;2;899
713;1992-01-01;1996-01-01;2;348
714;1992-01-01;1997-01-01;2;839
715;1992-01-01;1998-01-01;2;225
716;1992-01-01;1999-01-01;2;454
717;1992-01-01;1998-01-01;2;320
718;1992-01-01;1999-01-01;2;872
719;1994-01-01;1999-01-01;2;267
720;1991-01-01;1997-01-01;2;998
721;1991-01-01;1997-01-01;2;801
722;1992-01-01;1999-01-01;2;864
723;1992-01-01;1997-01-01;2;269
724;1993-01-01;1999-01-01;2;356
725;1991-01-01;1997-01-01;2;109
726;1992-01-01;1999-01-01;2;396
727;1995-01-01;1997-01-01;2;991
728;1994-01-01;1998-01-01;2;671
729;1994-01-01;1997-01-01;2;805
730;1994-01-01;1998-01-01;2;777
731;1995-01-01;1996-01-01;2;696
732;1992-01-01;1998-01-01;2;223
733;1995-01-01;1997-01-01;2;506
734;1993-01-01;1999-01-01;2;592
735;1994-01-01;1996-01-01;2;493
736;1993-01-01;1996-01-01;2;772
737;1992-01-01;1997-01-01;2;808
738;1993-01-01;1998-01-01;2;17
739;1991-01-01;1999-01-01;2;288
740;1995-01-01;1999-01-01;2;856
741;1995-01-01;1999-01-01;2;35
742;1993-01-01;1998-01-01;2;603
743;1991-01-01;1999-01-01;2;987
744;1993-01-01;1996-01-01;2;447
745;1993-01-01;1999-01-01;2;449
746;1992-01-01;1996-01-01;2;70
747;1992-01-01;1999-01-01;2;758
748;1995-01-01;1999-01-01;2;147
749;1993-01-01;1999-01-01;2;12
750;1995-01-01;1997-01-01;2;910
751;1992-01-01;1998-01-01;2;846
752;1994-01-01;1999-01-01;2;414
753;1993-01-01;1996-01-01;2;902
754;1992-01-01;1996-01-01;2;820
755;1995-01-01;1999-01-01;2;204
756;1995-01-01;1996-01-01;2;380
757;1992-01-01;1998-01-01;2;58
758;1994-01-01;1998-01-01;2;723
759;1993-01-01;1996-01-01;2;204
760;1991-01-01;1997-01-01;2;845
761;1994-01-01;1999-01-01;2;459
762;1993-01-01;1997-01-01;2;980
763;1995-01-01;1996-01-01;2;857
764;1995-01-01;1997-01-01;2;486
765;1994-01-01;1997-01-01;2;291
766;1993-01-01;1999-01-01;2;71
767;1994-01-01;1999-01-01;2;688
768;1994-01-01;1998-01-01;2;297
769;1993-01-01;1997-01-01;2;933
770;1993-01-01;1996-01-01;2;796
771;1995-01-01;1996-01-01;2;400
772;1992-01-01;1996-01-01;2;188
773;1995-01-01;1998-01-01;2;22
774;1994-01-01;1998-01-01;2;233
775;1993-01-01;1999-01-01;2;839
776;1995-01-01;1996-01-01;2;583
777;1991-01-01;1999-01-01;2;736
778;1995-01-01;1997-01-01;2;97
779;1992-01-01;1998-01-01;2;624
780;1993-01-01;1999-01-01;2;219
781;1992-01-01;1996-01-01;2;38
782;1991-01-01;1997-01-01;2;308
783;1992-01-01;1996-01-01;2;397
784;1994-01-01;1996-01-01;2;631
785;1995-01-01;1999-01-01;2;904
786;1995-01-01;1997-01-01;2;423
787;1991-01-01;1996-01-01;2;948
788;1994-01-01;1999-01-01;2;816
789;1995-01-01;1996-01-01;2;415
790;1995-01-01;1996-01-01;2;16
791;1993-01-01;1996-01-01;2;949
792;1995-01-01;1997-01-01;2;306
793;1993-01-01;1999-01-01;2;640
794;1993-01-01;1998-01-01;2;33
795;1995-01-01;1996-01-01;2;579
796;1995-01-01;1996-01-01;2;670
797;1991-01-01;1997-01-01;2;566
798;1993-01-01;1999-01-01;2;222
799;1994-01-01;1997-01-01;2;662
800;1994-01-01;1999-01-01;2;362
801;1994-01-01;1999-01-01;2;478
802;1991-01-01;1997-01-01;2;132
803;1993-01-01;1999-01-01;2;16
804;1994-01-01;1996-01-01;2;950
805;1993-01-01;1996-01-01;2;272
806;1992-01-01;1999-01-01;2;320
807;1993-01-01;1996-01-01;2;21
808;1993-01-01;1998-01-01;2;603
809;1991-01-01;1997-01-01;2;958
810;1995-01-01;1998-01-01;2;360
811;1992-01-01;1996-01-01;2;792
812;1993-01-01;1998-01-01;2;690
813;1993-01-01;1999-01-01;2;105
814;1992-01-01;1998-01-01;2;496
815;1991-01-01;1997-01-01;2;734
816;1994-01-01;1996-01-01;2;227
817;1993-01-01;1998-01-01;2;637
818;1991-01-01;1996-01-01;2;810
819;1991-01-01;1999-01-01;2;501
820;1994-01-01;1999-01-01;2;68
821;1992-01-01;1997-01-01;2;458
822;1995-01-01;1996-01-01;2;845
823;1992-01-01;1996-01-01;2;263
824;1993-01-01;1997-01-01;2;900
825;1991-01-01;1999-01-01;2;848
826;1991-01-01;1999-01-01;2;86
827;1995-01-01;1997-01-01;2;679
828;1991-01-01;1998-01-01;2;811
829;1994-01-01;1999-01-01;2;556
830;1995-01-01;1998-01-01;2;348
831;1995-01-01;1997-01-01;2;487
832;1991-01-01;1998-01-01;2;653
833;1995-01-01;1998-01-01;2;87
834;1995-01-01;1997-01-01;2;385
835;1992-01-01;1996-01-01;2;931
836;1992-01-01;1997-01-01;2;631
837;1992-01-01;1998-01-01;2;316
838;1992-01-01;1997-01-01;2;84
839;1991-01-01;1996-01-01;2;616
840;1995-01-01;1996-01-01;2;180
841;1993-01-01;1999-01-01;2;625
842;1992-01-01;1998-01-01;2;575
843;1992-01-01;1997-01-01;2;429
844;1994-01-01;1997-01-01;2;538
845;1994-01-01;1999-01-01;2;227
846;1994-01-01;1999-01-01;2;788
847;1993-01-01;1997-01-01;2;674
848;1991-01-01;1997-01-01;2;37
849;1993-01-01;1997-01-01;2;31
850;1995-01-01;1998-01-01;2;388
851;1994-01-01;1997-01-01;2;345
852;1995-01-01;1998-01-01;2;713
853;1992-01-01;1996-01-01;2;178
854;1995-01-01;1996-01-01;2;818
855;1994-01-01;1997-01-01;2;173
856;1992-01-01;1997-01-01;2;523
857;1993-01-01;1996-01-01;2;243
858;1992-01-01;1997-01-01;2;451
859;1993-01-01;1999-01-01;2;781
860;1991-01-01;1999-01-01;2;134
861;1992-01-01;1998-01-01;2;27
862;1992-01-01;1996-01-01;2;185
863;1993-01-01;1996-01-01;2;396
864;1995-01-01;1999-01-01;2;739
865;1991-01-01;1998-01-01;2;325
866;1995-01-01;1996-01-01;2;327
867;1991-01-01;1996-01-01;2;363
868;1994-01-01;1996-01-01;2;428
869;1992-01-01;1996-01-01;2;460
870;1993-01-01;1998-01-01;2;740
871;1993-01-01;1998-01-01;2;645
872;1995-01-01;1999-01-01;2;162
873;1993-01-01;1996-01-01;2;11
874;1992-01-01;1998-01-01;2;521
875;1995-01-01;1997-01-01;2;170
876;1992-01-01;1999-01-01;2;812
877;1994-01-01;1998-01-01;2;872
878;1991-01-01;1998-01-01;2;5
879;1993-01-01;1999-01-01;2;340
880;1993-01-01;1999-01-01;2;622
881;1994-01-01;1999-01-01;2;383
882;1993-01-01;1998-01-01;2;909
883;1995-01-01;1997-01-01;2;265
884;1995-01-01;1998-01-01;2;114
885;1992-01-01;1997-01-01;2;987
886;1993-01-01;1997-01-01;2;120
887;1992-01-01;1998-01-01;2;887
888;1994-01-01;1996-01-01;2;317
889;1994-01-01;1996-01-01;2;507
890;1993-01-01;1997-01-01;2;327
891;1994-01-01;1999-01-01;2;467
892;1995-01-01;1997-01-01;2;293
893;1995-01-01;1997-01-01;2;866
894;1994-01-01;1997-01-01;2;684
895;1991-01-01;1996-01-01;2;11
896;1994-01-01;1999-01-01;2;806
897;1991-01-01;1999-01-01;2;238
898;1991-01-01;1999-01-01;2;348
899;1995-01-01;1997-01-01;2;508
900;1992-01-01;1997-01-01;2;243
901;1991-01-01;1999-01-01;2;781
902;1994-01-01;1998-01-01;2;199
903;1991-01-01;1996-01-01;2;991
904;1991-01-01;1996-01-01;2;26
905;1995-01-01;1997-01-01;2;461
906;1994-01-01;1997-01-01;2;30
907;1992-01-01;1997-01-01;2;348
908;1991-01-01;1996-01-01;2;505
909;1994-01-01;1998-01-01;2;340
910;1995-01-01;1998-01-01;2;718
911;1993-01-01;1997-01-01;2;278
912;1995-01-01;1996-01-01;2;966
913;1991-01-01;1998-01-01;2;803
914;1995-01-01;1999-01-01;2;17
915;1993-01-01;1998-01-01;2;31
916;1994-01-01;1997-01-01;2;299
917;1991-01-01;1996-01-01;2;399
918;1995-01-01;1997-01-01;2;404
919;1995-01-01;1998-01-01;2;502
920;1994-01-01;1999-01-01;2;582
921;1991-01-01;1997-01-01;2;945
922;1991-01-01;1999-01-01;2;541
923;1994-01-01;1998-01-01;2;886
924;1995-01-01;1998-01-01;2;892
925;1995-01-01;1996-01-01;2;970
926;1991-01-01;1998-01-01;2;339
927;1993-01-01;1996-01-01;2;258
928;1994-01-01;1998-01-01;2;196
929;1995-01-01;1998-01-01;2;329
930;1995-01-01;1999-01-01;2;228
931;1992-01-01;1998-01-01;2;208
932;1993-01-01;1997-01-01;2;556
933;1994-01-01;1999-01-01;2;37
934;1994-01-01;1996-01-01;2;657
935;1992-01-01;1997-01-01;2;205
936;1994-01-01;1997-01-01;2;972
937;1993-01-01;1997-01-01;2;606
938;1995-01-01;1999-01-01;2;205
939;1993-01-01;1999-01-01;2;942
940;1994-01-01;1997-01-01;2;913
941;1991-01-01;1999-01-01;2;198
942;1993-01-01;1997-01-01;2;562
943;1992-01-01;1996-01-01;2;219
944;1992-01-01;1997-01-01;2;530
945;1993-01-01;1996-01-01;2;784
946;1992-01-01;1999-01-01;2;188
947;1993-01-01;1996-01-01;2;255
948;1993-01-01;1996-01-01;2;152
949;1994-01-01;1999-01-01;2;640
950;1992-01-01;1997-01-01;2;450
951;1994-01-01;1998-01-01;2;328
952;1991-01-01;1998-01-01;2;350
953;1991-01-01;1997-01-01;2;393
954;1993-01-01;1999-01-01;2;947
955;1991-01-01;1997-01-01;2;146
956;1991-01-01;1997-01-01;2;659
957;1994-01-01;1997-01-01;2;625
958;1994-01-01;1997-01-01;2;489
959;1993-01-01;1996-01-01;2;852
960;1991-01-01;1996-01-01;2;734
961;1995-01-01;1997-01-01;2;41
962;1995-01-01;1999-01-01;2;34
963;1994-01-01;1996-01-01;2;753
964;1993-01-01;1999-01-01;2;642
965;1993-01-01;1997-01-01;2;767
966;1995-01-01;1996-01-01;2;161
967;1991-01-01;1998-01-01;2;400
968;1991-01-01;1997-01-01;2;591
969;1994-01-01;1997-01-01;2;986
970;1992-01-01;1996-01-01;2;53
971;1994-01-01;1998-01-01;2;460
972;1991-01-01;1997-01-01;2;109
973;1995-01-01;1999-01-01;2;256
974;1994-01-01;1999-01-01;2;280
975;1993-01-01;1999-01-01;2;512
976;1992-01-01;1997-01-01;2;886
977;1995-01-01;1996-01-01;2;569
978;1995-01-01;1999-01-01;2;268
979;1991-01-01;1997-01-01;2;172
980;1994-01-01;1996-01-01;2;585
981;1993-01-01;1997-01-01;2;308
982;1991-01-01;1996-01-01;2;842
983;1993-01-01;1999-01-01;2;375
984;1991-01-01;1997-01-01;2;974
985;1993-01-01;1999-01-01;2;317
986;1994-01-01;1999-01-01;2;861
987;1991-01-01;1997-01-01;2;12
988;1994-01-01;1998-01-01;2;965
989;1995-01-01;1997-01-01;2;787
990;1995-01-01;1997-01-01;2;21
991;1992-01-01;1997-01-01;2;817
992;1995-01-01;1999-01-01;2;145
993;1994-01-01;1999-01-01;2;51
994;1993-01-01;1996-01-01;2;518
995;1991-01-01;1999-01-01;2;362
996;1991-01-01;1998-01-01;2;622
997;1991-01-01;1999-01-01;2;697
998;1995-01-01;1997-01-01;2;583
999;1994-01-01;1997-01-01;2;405
1000;1992-01-01;1997-01-01;0;213
1001;1993-01-01;1996-01-01;0;808
1002;1995-01-01;1997-01-01;0;8
1003;1992-01-01;1998-01-01;0;905
1004;1992-01-01;1999-01-01;3;564
1005;1992-01-01;1996-01-01;4;884
1006;1992-01-01;1998-01-01;0;735
1007;1995-01-01;1997-01-01;1;69
1008;1993-01-01;1999-01-01;3;737
1009;1994-01-01;1999-01-01;0;965
1010;1992-01-01;1996-01-01;1;481
1011;1993-01-01;1999-01-01;0;479
1012;1992-01-01;1996-01-01;3;510
1013;1991-01-01;1996-01-01;0;40
1014;1991-01-01;1996-01-01;2;427
1015;1994-01-01;1996-01-01;2;972
1016;1994-01-01;1998-01-01;1;385
1017;1993-01-01;1997-01-01;3;268
1018;1993-01-01;1997-01-01;4;238
1019;1992-01-01;1999-01-01;1;430
1020;1992-01-01;1996-01-01;2;192
1021;1992-01-01;1996-01-01;4;241
1022;1994-01-01;1998-01-01;4;91
1023;1993-01-01;1996-01-01;0;193
1024;1992-01-01;1996-01-01;2;16
1025;1992-01-01;1997-01-01;3;402
1026;1993-01-01;1997-01-01;4;158
1027;1994-01-01;1997-01-01;3;191
1028;1993-01-01;1996-01-01;4;920
1029;1991-01-01;1996-01-01;3;356
1030;1991-01-01;1998-01-01;4;986
1031;1995-01-01;1998-01-01;0;366
1032;1992-01-01;1999-01-01;1;58
1033;1992-01-01;1998-01-01;4;706
1034;1995-01-01;1997-01-01;4;141
1035;1992-01-01;1996-01-01;1;640
1036;1993-01-01;1999-01-01;3;908
1037;1992-01-01;1998-01-01;4;101
1038;1992-01-01;1999-01-01;0;654
1039;1995-01-01;1996-01-01;1;683
1040;1995-01-01;1998-01-01;2;924
1041;1991-01-01;1997-01-01;0;188
1042;1993-01-01;1998-01-01;4;611
1043;1992-01-01;1999-01-01;1;667
1044;1993-01-01;1998-01-01;3;463
1045;1994-01-01;1999-01-01;3;678
1046;1991-01-01;1999-01-01;4;72
1047;1992-01-01;1999-01-01;2;151
1048;1992-01-01;1998-01-01;2;56
1049;1993-01-01;1998-01-01;3;862
1050;1994-01-01;1998-01-01;0;540
1051;1992-01-01;1997-01-01;0;417
1052;1991-01-01;1999-01-01;0;78
1053;1991-01-01;1998-01-01;4;620
1054;1994-01-01;1996-01-01;0;560
1055;1993-01-01;1996-01-01;2;17
1056;1995-01-01;1997-01-01;3;890
1057;1992-01-01;1999-01-01;3;838
1058;1991-01-01;1998-01-01;1;425
1059;1993-01-01;1996-01-01;3;227
1060;1994-01-01;1996-01-01;2;317
1061;1993-01-01;1997-01-01;2;51
1062;1993-01-01;1998-01-01;2;974
1063;1995-01-01;1999-01-01;4;364
1064;1991-01-01;1998-01-01;4;936
1065;1995-01-01;1997-01-01;0;455
1066;1992-01-01;1996-01-01;0;114
1067;1992-01-01;1997-01-01;3;667
1068;1992-01-01;1998-01-01;1;251
1069;1992-01-01;1997-01-01;3;100
1070;1995-01-01;1998-01-01;1;44
1071;1992-01-01;1998-01-01;1;473
1072;1991-01-01;1997-01-01;1;650
1073;1992-01-01;1997-01-01;0;286
1074;1993-01-01;1998-01-01;4;904
1075;1995-01-01;1997-01-01;2;965
1076;1994-01-01;1998-01-01;3;580
1077;1994-01-01;1999-01-01;1;292
1078;1992-01-01;1997-01-01;1;414
1079;1992-01-01;1996-01-01;3;416
1080;1991-01-01;1999-01-01;2;603
1081;1995-01-01;1999-01-01;1;567
1082;1991-01-01;1997-01-01;4;946
1083;1993-01-01;1997-01-01;1;386
1084;1993-01-01;1998-01-01;2;921
1085;1991-01-01;1996-01-01;1;25
1086;1992-01-01;1999-01-01;2;879
1087;1995-01-01;1996-01-01;2;298
1088;1995-01-01;1998-01-01;2;642
1089;1995-01-01;1997-01-01;1;832
1090;1995-01-01;1999-01-01;1;451
1091;1994-01-01;1996-01-01;1;539
1092;1993-01-01;1997-01-01;2;882
1093;1993-01-01;1999-01-01;3;978
1094;1991-01-01;1996-01-01;1;695
1095;1993-01-01;1999-01-01;1;913
1096;1991-01-01;1998-01-01;4;262
1097;1993-01-01;1997-01-01;2;117
1098;1995-01-01;1996-01-01;1;787
1099;1995-01-01;1999-01-01;1;109
1100;1991-01-01;1998-01-01;2;917
1101;1992-01-01;1999-01-01;1;422
1102;1994-01-01;1997-01-01;1;180
1103;1992-01-01;1998-01-01;3;3
1104;1994-01-01;1998-01-01;1;501
1105;1991-01-01;1998-01-01;0;34
1106;1992-01-01;1998-01-01;0;81
1107;1992-01-01;1999-01-01;2;239
1108;1992-01-01;1999-01-01;3;521
1109;1993-01-01;1999-01-01;2;59
1110;1993-01-01;1998-01-01;1;66
1111;1993-01-01;1999-01-01;4;189
1112;1992-01-01;1997-01-01;4;786
1113;1992-01-01;1996-01-01;3;24
1114;1992-01-01;1996-01-01;1;598
1115;1991-01-01;1999-01-01;1;58
1116;1993-01-01;1999-01-01;2;560
1117;1992-01-01;1998-01-01;4;633
1118;1993-01-01;1999-01-01;2;424
1119;1993-01-01;1997-01-01;2;158
1120;1994-01-01;1997-01-01;0;598
1121;1991-01-01;1997-01-01;3;757
1122;1993-01-01;1996-01-01;3;523
1123;1994-01-01;1996-01-01;1;414
1124;1992-01-01;1999-01-01;4;386
1125;1991-01-01;1999-01-01;2;121
1126;1992-01-01;1998-01-01;1;731
1127;1991-01-01;1996-01-01;1;446
1128;1994-01-01;1997-01-01;2;89
1129;1991-01-01;1996-01-01;2;804
1130;1995-01-01;1997-01-01;2;322
1131;1994-01-01;1997-01-01;3;518
1132;1993-01-01;1998-01-01;3;473
1133;1994-01-01;1998-01-01;2;185
1134;1991-01-01;1999-01-01;3;115
1135;1991-01-01;1999-01-01;0;531
1136;1992-01-01;1999-01-01;4;120
1137;1993-01-01;1998-01-01;4;135
1138;1992-01-01;1996-01-01;4;859
1139;1994-01-01;1999-01-01;3;244
1140;1992-01-01;1996-01-01;1;760
1141;1991-01-01;1996-01-01;4;445
1142;1992-01-01;1997-01-01;3;778
1143;1991-01-01;1999-01-01;2;41
1144;1992-01-01;1998-01-01;4;506
1145;1995-01-01;1996-01-01;3;941
1146;1991-01-01;1999-01-01;0;640
1147;1994-01-01;1999-01-01;4;923
1148;1991-01-01;1999-01-01;2;714
1149;1995-01-01;1998-01-01;4;726
1150;1995-01-01;1998-01-01;4;72
1151;1993-01-01;1996-01-01;1;986
1152;1991-01-01;1998-01-01;3;553
1153;1992-01-01;1998-01-01;0;544
1154;1993-01-01;1997-01-01;4;366
1155;1991-01-01;1996-01-01;4;321
1156;1993-01-01;1997-01-01;1;655
1157;1993-01-01;1997-01-01;2;801
1158;1993-01-01;1997-01-01;2;305
1159;1993-01-01;1997-01-01;0;922
1160;1992-01-01;1998-01-01;4;233
1161;1991-01-01;1997-01-01;1;623
1162;1991-01-01;1999-01-01;1;374
1163;1994-01-01;1996-01-01;0;960
1164;1993-01-01;1998-01-01;3;559
1165;1992-01-01;1996-01-01;2;823
1166;1994-01-01;1999-01-01;1;657
1167;1995-01-01;1997-01-01;2;802
1168;1994-01-01;1996-01-01;3;627
1169;1995-01-01;1998-01-01;4;616
1170;1995-01-01;1996-01-01;4;696
1171;1992-01-01;1999-01-01;3;756
1172;1991-01-01;1997-01-01;0;151
1173;1991-01-01;1999-01-01;2;876
1174;1992-01-01;1998-01-01;2;243
1175;1991-01-01;1998-01-01;4;159
1176;1993-01-01;1997-01-01;2;773
1177;1991-01-01;1998-01-01;3;723
1178;1991-01-01;1998-01-01;4;718
1179;1994-01-01;1998-01-01;3;963
1180;1994-01-01;1999-01-01;3;276
1181;1994-01-01;1997-01-01;3;953
1182;1991-01-01;1997-01-01;0;682
1183;1994-01-01;1997-01-01;4;763
1184;1993-01-01;1997-01-01;2;462
1185;1991-01-01;1997-01-01;0;999
1186;1993-01-01;1996-01-01;0;296
1187;1994-01-01;1999-01-01;4;188
1188;1995-01-01;1996-01-01;0;572
1189;1995-01-01;1999-01-01;4;321
1190;1991-01-01;1996-01-01;3;366
1191;1994-01-01;1998-01-01;4;178
1192;1992-01-01;1999-01-01;3;257
1193;1994-01-01;1996-01-01;0;606
1194;1993-01-01;1997-01-01;4;513
1195;1995-01-01;1996-01-01;3;851
1196;1991-01-01;1999-01-01;2;526
1197;1991-01-01;1997-01-01;3;939
1198;1993-01-01;1998-01-01;2;13
1199;1991-01-01;1998-01-01;0;833
1200;1993-01-01;1999-01-01;0;974
1201;1993-01-01;1999-01-01;2;47
1202;1995-01-01;1997-01-01;0;36
1203;1994-01-01;1996-01-01;1;121
1204;1992-01-01;1996-01-01;4;176
1205;1991-01-01;1998-01-01;3;71
1206;1994-01-01;1997-01-01;1;173
1207;1994-01-01;1999-01-01;1;126
1208;1992-01-01;1997-01-01;3;132
1209;1995-01-01;1997-01-01;2;15
1210;1994-01-01;1998-01-01;0;618
1211;1995-01-01;1998-01-01;0;701
1212;1991-01-01;1999-01-01;1;807
1213;1992-01-01;1999-01-01;2;72
1214;1991-01-01;1996-01-01;4;378
1215;1992-01-01;1998-01-01;2;12
1216;1994-01-01;1999-01-01;2;39
1217;1993-01-01;1997-01-01;3;478
1218;1994-01-01;1997-01-01;4;206
1219;1995-01-01;1996-01-01;1;227
1220;1992-01-01;1998-01-01;4;62
1221;1991-01-01;1999-01-01;1;279
1222;1992-01-01;1996-01-01;3;519
1223;1992-01-01;1999-01-01;3;848
1224;1991-01-01;1998-01-01;4;254
1225;1994-01-01;1999-01-01;0;906
1226;1994-01-01;1999-01-01;1;455
1227;1994-01-01;1997-01-01;2;560
1228;1993-01-01;1998-01-01;3;931
1229;1991-01-01;1997-01-01;3;942
1230;1995-01-01;1999-01-01;1;649
1231;1992-01-01;1997-01-01;1;116
1232;1991-01-01;1998-01-01;3;295
1233;1993-01-01;1997-01-01;2;361
1234;1992-01-01;1997-01-01;2;47
1235;1991-01-01;1998-01-01;4;343
1236;1995-01-01;1999-01-01;0;345
1237;1994-01-01;1996-01-01;1;205
1238;1994-01-01;1996-01-01;3;451
1239;1994-01-01;1998-01-01;3;622
1240;1992-01-01;1997-01-01;4;940
1241;1993-01-01;1997-01-01;4;137
1242;1995-01-01;1998-01-01;0;998
1243;1991-01-01;1996-01-01;1;126
1244;1991-01-01;1999-01-01;0;992
1245;1995-01-01;1997-01-01;2;652
1246;1991-01-01;1997-01-01;1;664
1247;1991-01-01;1997-01-01;0;684
1248;1991-01-01;1998-01-01;0;131
1249;1992-01-01;1998-01-01;2;597
1250;1992-01-01;1998-01-01;0;904
1251;1993-01-01;1996-01-01;1;859
1252;1993-01-01;1999-01-01;1;521
1253;1995-01-01;1999-01-01;1;334
1254;1995-01-01;1996-01-01;1;5
1255;1992-01-01;1998-01-01;1;358
1256;1995-01-01;1998-01-01;3;672
1257;1995-01-01;1997-01-01;0;979
1258;1995-01-01;1999-01-01;4;950
1259;1994-01-01;1996-01-01;3;619
1260;1993-01-01;1999-01-01;0;768
1261;1993-01-01;1999-01-01;3;561
1262;1991-01-01;1998-01-01;4;693
1263;1993-01-01;1997-01-01;2;737
1264;1991-01-01;1999-01-01;1;416
1265;1993-01-01;1996-01-01;0;982
1266;1992-01-01;1998-01-01;4;498
1267;1994-01-01;1997-01-01;0;852
1268;1992-01-01;1998-01-01;2;64
1269;1994-01-01;1996-01-01;0;198
1270;1991-01-01;1996-01-01;2;515
1271;1992-01-01;1997-01-01;0;818
1272;1995-01-01;1997-01-01;1;52
1273;1991-01-01;1999-01-01;3;237
1274;1992-01-01;1999-01-01;3;255
1275;1991-01-01;1996-01-01;0;820
1276;1992-01-01;1999-01-01;2;777
1277;1992-01-01;1999-01-01;2;234
1278;1994-01-01;1997-01-01;3;394
1279;1992-01-01;1998-01-01;4;18
1280;1993-01-01;1998-01-01;2;209
1281;1992-01-01;1997-01-01;2;931
1282;1992-01-01;1997-01-01;2;731
1283;1995-01-01;1996-01-01;4;868
1284;1993-01-01;1999-01-01;2;703
1285;1994-01-01;1996-01-01;4;681
1286;1992-01-01;1997-01-01;0;210
1287;1991-01-01;1998-01-01;4;990
1288;1993-01-01;1999-01-01;3;275
1289;1992-01-01;1996-01-01;2;1
1290;1994-01-01;1997-01-01;1;253
1291;1992-01-01;1998-01-01;2;874
1292;1992-01-01;1998-01-01;1;417
1293;1993-01-01;1996-01-01;0;960
1294;1994-01-01;1996-01-01;0;865
1295;1992-01-01;1996-01-01;2;230
1296;1994-01-01;1996-01-01;2;429
1297;1993-01-01;1996-01-01;2;795
1298;1995-01-01;1998-01-01;2;510
1299;1991-01-01;1999-01-01;4;613
1300;1994-01-01;1999-01-01;2;700
1301;1991-01-01;1999-01-01;3;890
1302;1992-01-01;1998-01-01;1;674
1303;1994-01-01;1996-01-01;3;169
1304;1995-01-01;1996-01-01;3;509
1305;1994-01-01;1999-01-01;1;554
1306;1991-01-01;1997-01-01;2;958
1307;1993-01-01;1996-01-01;4;454
1308;1991-01-01;1996-01-01;1;657
1309;1995-01-01;1997-01-01;0;918
1310;1991-01-01;1998-01-01;0;758
1311;1993-01-01;1996-01-01;0;748
1312;1994-01-01;1997-01-01;4;588
1313;1991-01-01;1997-01-01;2;892
1314;1995-01-01;1996-01-01;2;307
1315;1991-01-01;1996-01-01;4;595
1316;1992-01-01;1998-01-01;3;489
1317;1995-01-01;1996-01-01;1;508
1318;1994-01-01;1997-01-01;0;453
1319;1995-01-01;1999-01-01;1;359
1320;1993-01-01;1999-01-01;2;917
1321;1993-01-01;1998-01-01;1;776
1322;1992-01-01;1999-01-01;3;716
1323;1994-01-01;1998-01-01;4;992
1324;1992-01-01;1998-01-01;3;938
1325;1991-01-01;1997-01-01;1;989
1326;1991-01-01;1996-01-01;4;321
1327;1992-01-01;1996-01-01;3;161
1328;1991-01-01;1999-01-01;2;254
1329;1991-01-01;1999-01-01;3;714
1330;1991-01-01;1999-01-01;0;829
1331;1991-01-01;1998-01-01;0;358
1332;1995-01-01;1996-01-01;2;105
1333;1995-01-01;1999-01-01;0;960
1334;1993-01-01;1996-01-01;3;590
1335;1995-01-01;1998-01-01;4;303
1336;1992-01-01;1999-01-01;2;703
1337;1995-01-01;1999-01-01;2;677
1338;1994-01-01;1996-01-01;1;276
1339;1992-01-01;1998-01-01;2;683
1340;1991-01-01;1997-01-01;3;974
1341;1991-01-01;1999-01-01;1;396
1342;1993-01-01;1999-01-01;0;199
1343;1995-01-01;1998-01-01;0;158
1344;1993-01-01;1998-01-01;1;8
1345;1993-01-01;1999-01-01;4;374
1346;1994-01-01;1999-01-01;1;805
1347;1991-01-01;1998-01-01;3;738
1348;1992-01-01;1997-01-01;4;843
1349;1993-01-01;1996-01-01;1;848
1350;1992-01-01;1998-01-01;0;492
1351;1994-01-01;1996-01-01;0;328
1352;1992-01-01;1998-01-01;4;588
1353;1993-01-01;1999-01-01;1;48
1354;1995-01-01;1999-01-01;1;105
1355;1995-01-01;1999-01-01;4;792
1356;1995-01-01;1997-01-01;0;349
1357;1991-01-01;1996-01-01;2;26
1358;1994-01-01;1996-01-01;2;513
1359;1994-01-01;1998-01-01;3;68
1360;1991-01-01;1998-01-01;2;211
1361;1994-01-01;1996-01-01;1;877
1362;1992-01-01;1999-01-01;3;942
1363;1995-01-01;1998-01-01;2;92
1364;1993-01-01;1999-01-01;2;161
1365;1994-01-01;1996-01-01;1;742
1366;1991-01-01;1999-01-01;2;983
1367;1991-01-01;1999-01-01;2;510
1368;1993-01-01;1999-01-01;3;260
1369;1995-01-01;1996-01-01;4;666
1370;1993-01-01;1999-01-01;3;380
1371;1991-01-01;1997-01-01;4;64
1372;1993-01-01;1999-01-01;2;983
1373;1995-01-01;1999-01-01;1;833
1374;1991-01-01;1998-01-01;0;891
1375;1992-01-01;1997-01-01;3;44
