iddomicilio;calle;altura;entrecalle1;entrecalle2;idbarrio
629;AV CNL CARDENAS     ;490;AV DARACT           ;AV CANONIGO MIGUEL C;6
630;AV CARABOBO         ;4223;AV CANONIGO MIGUEL C;AV DIAZ VELEZ       ;14
631;AV AMANCIO ALCORTA  ;4744;AV DE LAS CABALLERIZ;AV DEL LIBERTADOR   ;10
632;AV AVELLANEDA       ;2674;AV CURAPALIGUE      ;AV CNL NICETO VEGA  ;14
633;AV DEL BARCO CENTENE;2724;AV DEL CAMPO        ;AV DE LOS INMIGRANTE;4
634;AV CALLAO           ;3724;AV CASEROS          ;AV COBO             ;12
635;AV DARACT           ;3032;AV DE LOS CONSTITUYE;AV ALVAREZ JONTE BAJ;13
636;AV AMANCIO ALCORTA  ;4952;AV ASTURIAS         ;AV CARABOBO         ;9
637;AV DIAZ VELEZ       ;4740;AV COSTANERA RAFAEL ;AV CALLAO           ;7
638;AV CNL ROCA         ;1109;AV COMODORO PY      ;AV ALVAREZ JONTE    ;10
639;AV 9 DE JULIO       ;3702;AV DE LOS CORRALES  ;AV COBO             ;2
640;AV CRISOLOGO LARRALD;4732;AV CNL CARDENAS     ;AV DARACT           ;2
641;AV BRUIX            ;1945;AV BELISARIO ROLDAN ;AV DE LOS ITALIANOS ;13
642;AV CNL NICETO VEGA  ;2992;AV COMODORO PY      ;AV DE MAYO          ;10
643;AV CARLOS J FINLAY  ;3300;AV 27 DE FEBRERO    ;AV ARGENTINA        ;7
644;AV ALVAREZ JONTE BAJ;1047;AV CANONIGO MIGUEL C;AV DEL CAMPO        ;7
645;AV CDORO MARTIN RIVA;1482;AV CNL DIAZ         ;AV ALBARELLOS       ;2
646;AV ALMAFUERTE       ;4113;AV ALMAFUERTE       ;AV COBO             ;5
647;AV CHICLANA         ;4684;AV BOYACA           ;AV ALVAREZ JONTE    ;14
648;AV COLOMBIA         ;2321;AV 27 DE FEBRERO    ;AV CNL DIAZ         ;12
649;AV ASAMBLEA         ;2222;AV DE LA RABIDA     ;AV AVELLANEDA       ;4
650;AV BELISARIO ROLDAN ;2649;AV ALMTE BROWN      ;AV DE LOS INMIGRANTE;13
651;AV DE LOS INMIGRANTE;4743;AV DE LA RABIDA     ;AV DIAZ VELEZ       ;1
652;AV DEL FOMENTISTA   ;3698;AV COBO             ;AV COSTANERA INT HER;14
653;AV DE MAYO          ;319;AV DE LOS CONSTITUYE;AV DEL FOMENTISTA   ;2
654;AV CHICLANA         ;4517;AV BELISARIO ROLDAN ;AV DE LAS CABALLERIZ;14
655;AV ALVEAR           ;2779;AV CORDOBA          ;AV COSTANERA RAFAEL ;7
656;AV CORRIENTES       ;4488;AV DE LOS CORRALES  ;AV ALMAFUERTE       ;5
657;AV BOYACA           ;956;AV DE LAS CABALLERIZ;AV BRUIX            ;13
658;AV ASAMBLEA         ;1698;AV BELISARIO ROLDAN ;AV ASTURIAS         ;11
659;AV ADOLFO BERRO     ;2245;AV DIAZ VELEZ       ;AV ARGENTINA        ;5
660;AV ALMAFUERTE       ;1520;AV BELGRANO         ;AV DIAZ VELEZ       ;9
661;AV COSTANERA RAFAEL ;427;AV BELISARIO ROLDAN ;AV CNL NICETO VEGA  ;9
662;AV ALMTE BROWN      ;1522;AV CNL CARDENAS     ;AV DE LA RABIDA     ;1
663;AV ARGENTINA        ;4305;AV ALVAREZ JONTE    ;AV ALBARELLOS       ;5
664;AV DE LOS CORRALES  ;3638;AV DE LOS CONSTITUYE;AV CASARES          ;10
665;AV CHICLANA         ;149;AV ALMAFUERTE       ;AV ALVAREZ JONTE    ;2
666;AV CARLOS J FINLAY  ;3284;AV ASTURIAS         ;AV CURAPALIGUE      ;2
667;AV CURAPALIGUE      ;4730;AV DIRECTORIO       ;AV DE LOS CONSTITUYE;1
668;AV DEL CAMPO        ;1948;AV DARACT           ;AV ALVEAR           ;2
669;AV CNL ROCA         ;689;AV AMANCIO ALCORTA  ;AV DEL FOMENTISTA   ;13
670;AV BOEDO            ;4964;AV DE MAYO          ;AV ADOLFO BERRO     ;2
671;AV DE LAS CABALLERIZ;3154;AV CARLOS J FINLAY  ;AV ALVAREZ JONTE    ;14
672;AV 27 DE FEBRERO    ;1212;AV CNL DIAZ         ;AV ALVAREZ THOMAS   ;14
673;AV CALLAO           ;4101;AV ALVAREZ JONTE BAJ;AV BELISARIO ROLDAN ;12
674;AV CASEROS          ;2087;AV DEL BARCO CENTENE;AV DE LOS CORRALES  ;3
675;AV CORDOBA          ;3506;AV DE LAS CABALLERIZ;AV ADOLFO BERRO     ;11
676;AV ALVEAR           ;1777;AV CASEROS          ;AV ALVEAR           ;2
677;AV ALMTE BROWN      ;10;AV DEL FOMENTISTA   ;AV CHORROARIN       ;1
678;AV AVELLANEDA       ;407;AV DIRECTORIO       ;AV ALVAREZ JONTE BAJ;7
679;AV ALBARELLOS       ;1134;AV CASARES          ;AV CNL DIAZ         ;4
680;AV 27 DE FEBRERO    ;4730;AV ASAMBLEA         ;AV DEL BARCO CENTENE;12
681;AV ARGENTINA        ;4495;AV DERQUI           ;AV DIAZ VELEZ       ;12
682;AV CNL CARDENAS     ;819;AV ALMAFUERTE       ;AV DE LA RABIDA     ;7
683;AV AMANCIO ALCORTA  ;1084;AV ALBARELLOS       ;AV CABILDO          ;13
684;AV ALVAREZ THOMAS   ;4345;AV CABILDO          ;AV DARACT           ;1
685;AV CABILDO          ;1452;AV ALMTE BROWN      ;AV CNL DIAZ         ;3
686;AV DE MAYO          ;2913;AV CNL DIAZ         ;AV ALMTE BROWN      ;14
687;AV DEL LIBERTADOR   ;2213;AV ALVAREZ JONTE    ;AV ALVAREZ JONTE BAJ;4
688;AV DERQUI           ;3643;AV DIAZ VELEZ       ;AV BOYACA           ;12
689;AV DEL LIBERTADOR   ;2665;AV CNL ROCA         ;AV COMODORO PY      ;7
690;AV CNL ROCA         ;3766;AV DEL CAMPO        ;AV DE LA RABIDA     ;1
691;AV CARABOBO         ;51;AV ALBARELLOS       ;AV ALVEAR           ;13
692;AV CURAPALIGUE      ;1139;AV CHICLANA         ;AV 27 DE FEBRERO    ;13
693;AV DERQUI           ;149;AV DIRECTORIO       ;AV CORBETA URUGUAY  ;2
694;AV AMANCIO ALCORTA  ;1593;AV CASEROS          ;AV CDORO MARTIN RIVA;11
695;AV ALMAFUERTE       ;4213;AV ALBARELLOS       ;AV ASAMBLEA         ;9
696;AV ALVEAR           ;2595;AV AMANCIO ALCORTA  ;AV AMANCIO ALCORTA  ;13
697;AV CNL ROCA         ;921;AV BOYACA           ;AV BELGRANO         ;13
698;AV DE LOS CONSTITUYE;2370;AV AVELLANEDA       ;AV 27 DE FEBRERO    ;1
699;AV DERQUI           ;958;AV ASTURIAS         ;AV 27 DE FEBRERO    ;2
700;AV DE LOS INMIGRANTE;3827;AV BOYACA           ;AV BELISARIO ROLDAN ;10
701;AV CORDOBA          ;1827;AV BELGRANO         ;AV ASAMBLEA         ;9
702;AV BELISARIO ROLDAN ;1836;AV CURAPALIGUE      ;AV CARLOS J FINLAY  ;9
703;AV CANONIGO MIGUEL C;415;AV BRUIX            ;AV 9 DE JULIO       ;9
704;AV CABILDO          ;4312;AV CRISOLOGO LARRALD;AV ALVAREZ JONTE    ;1
705;AV DERQUI           ;1652;AV CASEROS          ;AV DERQUI           ;12
706;AV DERQUI           ;1418;AV CRISOLOGO LARRALD;AV DE LAS CABALLERIZ;8
707;AV CNL NICETO VEGA  ;3232;AV COSTANERA RAFAEL ;AV CANONIGO MIGUEL C;8
708;AV DEL LIBERTADOR   ;4229;AV ALBARELLOS       ;AV AMANCIO ALCORTA  ;1
709;AV ASTURIAS         ;1853;AV DE LOS CONSTITUYE;AV CNL NICETO VEGA  ;10
710;AV DE LOS CONSTITUYE;3381;AV COLOMBIA         ;AV 27 DE FEBRERO    ;6
711;AV ALVEAR           ;1626;AV CORRIENTES       ;AV AVELLANEDA       ;12
712;AV COBO             ;3351;AV CDORO MARTIN RIVA;AV BELISARIO ROLDAN ;10
713;AV ALVAREZ JONTE    ;3546;AV COMODORO PY      ;AV CURAPALIGUE      ;8
714;AV CARLOS J FINLAY  ;3759;AV CARLOS J FINLAY  ;AV DEL FOMENTISTA   ;4
715;AV ARGENTINA        ;529;AV DE MAYO          ;AV AVELLANEDA       ;3
716;AV DIRECTORIO       ;600;AV CANONIGO MIGUEL C;AV 9 DE JULIO       ;12
717;AV DE LOS ITALIANOS ;4754;AV CANONIGO MIGUEL C;AV COSTANERA INT HER;7
718;AV AMANCIO ALCORTA  ;1632;AV BOYACA           ;AV ALVAREZ THOMAS   ;4
719;AV CORDOBA          ;3839;AV DEL LIBERTADOR   ;AV CARLOS J FINLAY  ;9
720;AV ASAMBLEA         ;4976;AV DEL BARCO CENTENE;AV COSTANERA INT HER;5
721;AV DE LA RABIDA     ;929;AV AVELLANEDA       ;AV DIAZ VELEZ       ;3
722;AV COSTANERA RAFAEL ;2681;AV CNL NICETO VEGA  ;AV DEL LIBERTADOR   ;9
723;AV DEL LIBERTADOR   ;2795;AV DE LOS INCAS     ;AV DE MAYO          ;13
724;AV BELGRANO         ;104;AV ALVAREZ THOMAS   ;AV CASARES          ;6
725;AV DIRECTORIO       ;4441;AV CARABOBO         ;AV DIRECTORIO       ;3
726;AV ADOLFO BERRO     ;4433;AV CRISOLOGO LARRALD;AV 27 DE FEBRERO    ;10
727;AV CASARES          ;552;AV CANONIGO MIGUEL C;AV DE LOS INCAS     ;9
728;AV CORBETA URUGUAY  ;1723;AV COMODORO PY      ;AV COMODORO PY      ;3
729;AV DE MAYO          ;104;AV BELISARIO ROLDAN ;AV COMODORO PY      ;11
730;AV DIAZ VELEZ       ;878;AV CORDOBA          ;AV CARABOBO         ;8
731;AV ALMTE BROWN      ;4365;AV 9 DE JULIO       ;AV BOYACA           ;3
732;AV CANONIGO MIGUEL C;337;AV DEL LIBERTADOR   ;AV ARGENTINA        ;5
733;AV 9 DE JULIO       ;144;AV CHICLANA         ;AV DEL FOMENTISTA   ;9
734;AV CARLOS J FINLAY  ;4531;AV ASAMBLEA         ;AV DE LA RABIDA     ;5
735;AV DIAZ VELEZ       ;848;AV ALMAFUERTE       ;AV CALLAO           ;2
736;AV DE LAS CABALLERIZ;539;AV CNL CARDENAS     ;AV CORDOBA          ;2
737;AV DE LA RABIDA     ;2295;AV CURAPALIGUE      ;AV 9 DE JULIO       ;7
738;AV DARACT           ;3501;AV DERQUI           ;AV AVELLANEDA       ;8
739;AV BOYACA           ;3405;AV COLOMBIA         ;AV 27 DE FEBRERO    ;8
740;AV ALMTE BROWN      ;303;AV CANONIGO MIGUEL C;AV DE LA RABIDA     ;11
741;AV CNL NICETO VEGA  ;42;AV ASTURIAS         ;AV CALLAO           ;3
742;AV CASARES          ;257;AV ADOLFO BERRO     ;AV DIAZ VELEZ       ;7
743;AV DE LOS CORRALES  ;2427;AV ARGENTINA        ;AV BOEDO            ;2
744;AV ALVAREZ THOMAS   ;4653;AV COSTANERA INT HER;AV ALVAREZ THOMAS   ;6
745;AV BOYACA           ;2634;AV CORBETA URUGUAY  ;AV DE MAYO          ;4
746;AV ALVAREZ JONTE BAJ;580;AV COSTANERA INT HER;AV AVELLANEDA       ;6
747;AV CNL ROCA         ;3988;AV DIAZ VELEZ       ;AV ASTURIAS         ;10
748;AV COSTANERA RAFAEL ;2373;AV ALVAREZ JONTE    ;AV DIRECTORIO       ;3
749;AV DEL FOMENTISTA   ;674;AV DEL LIBERTADOR   ;AV DEL FOMENTISTA   ;3
750;AV COBO             ;2997;AV AVELLANEDA       ;AV DEL LIBERTADOR   ;4
751;AV CURAPALIGUE      ;2530;AV CHORROARIN       ;AV DERQUI           ;14
752;AV 27 DE FEBRERO    ;918;AV ASAMBLEA         ;AV DEL BARCO CENTENE;14
753;AV ALVAREZ THOMAS   ;579;AV CABILDO          ;AV DERQUI           ;7
754;AV DE LA RABIDA     ;4935;AV COLOMBIA         ;AV DE LOS CONSTITUYE;2
755;AV ASAMBLEA         ;1198;AV COMODORO PY      ;AV ALMTE BROWN      ;1
756;AV CORRIENTES       ;178;AV DIRECTORIO       ;AV ASTURIAS         ;6
757;AV COMODORO PY      ;3766;AV DE LOS ITALIANOS ;AV COBO             ;5
758;AV COBO             ;3502;AV DE LOS INCAS     ;AV DIAZ VELEZ       ;11
759;AV DE LOS ITALIANOS ;1191;AV CORDOBA          ;AV DE LA RABIDA     ;2
760;AV CNL CARDENAS     ;3048;AV DE LOS CONSTITUYE;AV CANONIGO MIGUEL C;12
761;AV BOEDO            ;3349;AV CNL NICETO VEGA  ;AV ALBARELLOS       ;3
762;AV ASTURIAS         ;3986;AV ALVAREZ JONTE BAJ;AV CNL NICETO VEGA  ;8
763;AV CABILDO          ;821;AV BELGRANO         ;AV DERQUI           ;12
764;AV CURAPALIGUE      ;2708;AV DEL LIBERTADOR   ;AV CABILDO          ;3
765;AV AMANCIO ALCORTA  ;22;AV ASTURIAS         ;AV ASAMBLEA         ;8
766;AV AMANCIO ALCORTA  ;4752;AV COBO             ;AV ARGENTINA        ;8
767;AV CRISOLOGO LARRALD;4215;AV ASTURIAS         ;AV DE LAS CABALLERIZ;10
768;AV DEL BARCO CENTENE;3173;AV CHORROARIN       ;AV CANONIGO MIGUEL C;12
769;AV CDORO MARTIN RIVA;357;AV CABILDO          ;AV DEL CAMPO        ;12
770;AV CANONIGO MIGUEL C;4810;AV DE LOS INMIGRANTE;AV CRISOLOGO LARRALD;10
771;AV DE LOS ITALIANOS ;2987;AV CHICLANA         ;AV CORBETA URUGUAY  ;12
772;AV BOEDO            ;3766;AV CURAPALIGUE      ;AV DEL FOMENTISTA   ;10
773;AV CARLOS J FINLAY  ;1545;AV CNL ROCA         ;AV ALVAREZ THOMAS   ;3
774;AV CORBETA URUGUAY  ;2521;AV CHICLANA         ;AV AMANCIO ALCORTA  ;11
775;AV ALVEAR           ;2855;AV COSTANERA INT HER;AV ADOLFO BERRO     ;9
776;AV DE LOS CORRALES  ;2495;AV DEL FOMENTISTA   ;AV ASTURIAS         ;1
777;AV CASARES          ;2136;AV DE LOS ITALIANOS ;AV BELGRANO         ;1
778;AV DE LOS INCAS     ;2168;AV CDORO MARTIN RIVA;AV CNL ROCA         ;5
779;AV COSTANERA RAFAEL ;1854;AV DERQUI           ;AV CORRIENTES       ;1
780;AV ASAMBLEA         ;2487;AV COSTANERA RAFAEL ;AV CNL CARDENAS     ;8
781;AV AVELLANEDA       ;1877;AV BRUIX            ;AV DEL FOMENTISTA   ;2
782;AV CDORO MARTIN RIVA;1678;AV DEL BARCO CENTENE;AV DE LOS INCAS     ;12
783;AV COBO             ;1520;AV ALVAREZ JONTE BAJ;AV ARGENTINA        ;9
784;AV ALVAREZ JONTE    ;4526;AV ALVAREZ JONTE BAJ;AV ALBARELLOS       ;11
785;AV ARGENTINA        ;2425;AV ASTURIAS         ;AV DE LOS CORRALES  ;9
786;AV 9 DE JULIO       ;4830;AV ALBARELLOS       ;AV CORDOBA          ;10
787;AV ALVAREZ JONTE BAJ;478;AV DE MAYO          ;AV DEL FOMENTISTA   ;1
788;AV DE LOS CONSTITUYE;4780;AV CORDOBA          ;AV ADOLFO BERRO     ;14
789;AV CNL CARDENAS     ;1330;AV CASARES          ;AV CHORROARIN       ;8
790;AV CARLOS J FINLAY  ;3244;AV COMODORO PY      ;AV DE LOS CONSTITUYE;14
791;AV COSTANERA RAFAEL ;437;AV ALVEAR           ;AV ALVEAR           ;8
792;AV CORRIENTES       ;3298;AV COSTANERA RAFAEL ;AV CASEROS          ;6
793;AV CNL ROCA         ;3675;AV CORBETA URUGUAY  ;AV CASARES          ;4
794;AV COMODORO PY      ;1344;AV DE LA RABIDA     ;AV DERQUI           ;7
795;AV BOYACA           ;1372;AV DEL CAMPO        ;AV CHORROARIN       ;11
796;AV ALVAREZ THOMAS   ;2720;AV CDORO MARTIN RIVA;AV AVELLANEDA       ;14
797;AV CASEROS          ;4823;AV CNL NICETO VEGA  ;AV DEL FOMENTISTA   ;13
798;AV BRUIX            ;1841;AV CABILDO          ;AV ALMAFUERTE       ;2
799;AV CARABOBO         ;1727;AV CNL ROCA         ;AV DIAZ VELEZ       ;2
800;AV COMODORO PY      ;1895;AV COSTANERA RAFAEL ;AV DE LOS ITALIANOS ;4
801;AV CANONIGO MIGUEL C;3463;AV CASARES          ;AV CNL NICETO VEGA  ;9
802;AV COMODORO PY      ;1493;AV CNL NICETO VEGA  ;AV CANONIGO MIGUEL C;3
803;AV ALVAREZ JONTE    ;118;AV ALVEAR           ;AV DE LOS INMIGRANTE;7
804;AV DE LOS CORRALES  ;4065;AV ASAMBLEA         ;AV CASARES          ;1
805;AV ADOLFO BERRO     ;2703;AV DE LA RABIDA     ;AV CRISOLOGO LARRALD;1
806;AV ASAMBLEA         ;4606;AV ASAMBLEA         ;AV CARLOS J FINLAY  ;12
807;AV BELGRANO         ;604;AV ALVEAR           ;AV CALLAO           ;8
808;AV DE LOS CONSTITUYE;172;AV 27 DE FEBRERO    ;AV DEL CAMPO        ;3
809;AV ALVEAR           ;3208;AV CALLAO           ;AV DIRECTORIO       ;5
810;AV CRISOLOGO LARRALD;1218;AV DARACT           ;AV ASTURIAS         ;1
811;AV ALVAREZ JONTE BAJ;503;AV DE LAS CABALLERIZ;AV CNL DIAZ         ;2
812;AV CARLOS J FINLAY  ;775;AV CASARES          ;AV DE LOS ITALIANOS ;5
813;AV DERQUI           ;3691;AV CANONIGO MIGUEL C;AV CNL NICETO VEGA  ;9
814;AV DEL FOMENTISTA   ;4827;AV COSTANERA RAFAEL ;AV BOEDO            ;12
815;AV CNL CARDENAS     ;2304;AV CORDOBA          ;AV DE LA RABIDA     ;3
816;AV CHICLANA         ;2810;AV CORDOBA          ;AV CHICLANA         ;13
817;AV CDORO MARTIN RIVA;216;AV CASEROS          ;AV DEL CAMPO        ;14
818;AV DEL CAMPO        ;2537;AV BELISARIO ROLDAN ;AV CARABOBO         ;13
819;AV DE LAS CABALLERIZ;2955;AV CORRIENTES       ;AV DEL FOMENTISTA   ;12
820;AV ALVAREZ JONTE    ;4956;AV CURAPALIGUE      ;AV DE LOS ITALIANOS ;13
821;AV CDORO MARTIN RIVA;991;AV CDORO MARTIN RIVA;AV COSTANERA RAFAEL ;6
822;AV COBO             ;2954;AV BOEDO            ;AV CARLOS J FINLAY  ;14
823;AV ALVAREZ JONTE    ;1605;AV COSTANERA RAFAEL ;AV CURAPALIGUE      ;3
824;AV CHICLANA         ;2578;AV 9 DE JULIO       ;AV DIRECTORIO       ;1
825;AV COMODORO PY      ;584;AV CASARES          ;AV CABILDO          ;5
826;AV CHORROARIN       ;1414;AV CNL DIAZ         ;AV CNL NICETO VEGA  ;3
827;AV BELGRANO         ;2167;AV BRUIX            ;AV DIAZ VELEZ       ;7
828;AV DIAZ VELEZ       ;3878;AV ALMTE BROWN      ;AV DEL BARCO CENTENE;7
829;AV CANONIGO MIGUEL C;1269;AV CNL DIAZ         ;AV DEL BARCO CENTENE;14
830;AV CASEROS          ;955;AV CURAPALIGUE      ;AV DE LOS CORRALES  ;7
831;AV CANONIGO MIGUEL C;1031;AV CALLAO           ;AV CARLOS J FINLAY  ;2
832;AV CABILDO          ;2940;AV AMANCIO ALCORTA  ;AV ALVAREZ JONTE BAJ;4
833;AV CALLAO           ;1323;AV AMANCIO ALCORTA  ;AV DE LOS CORRALES  ;10
834;AV CORDOBA          ;4716;AV ADOLFO BERRO     ;AV CHORROARIN       ;10
835;AV BOYACA           ;4030;AV ALMAFUERTE       ;AV CASARES          ;3
836;AV COMODORO PY      ;1482;AV CANONIGO MIGUEL C;AV BELGRANO         ;10
837;AV ALVAREZ JONTE    ;2061;AV DE LOS ITALIANOS ;AV CNL CARDENAS     ;7
838;AV COMODORO PY      ;4345;AV DE MAYO          ;AV CHICLANA         ;1
839;AV ALVAREZ JONTE    ;4456;AV ALBARELLOS       ;AV DE MAYO          ;11
840;AV CASARES          ;3775;AV 27 DE FEBRERO    ;AV 9 DE JULIO       ;14
841;AV DIAZ VELEZ       ;1713;AV DEL LIBERTADOR   ;AV ALBARELLOS       ;6
842;AV CABILDO          ;4762;AV ALVEAR           ;AV 27 DE FEBRERO    ;11
843;AV CABILDO          ;4908;AV CASEROS          ;AV CASARES          ;12
844;AV CASARES          ;2354;AV AMANCIO ALCORTA  ;AV BRUIX            ;10
845;AV CARABOBO         ;4268;AV CABILDO          ;AV DE LOS ITALIANOS ;8
846;AV BOEDO            ;3773;AV DE LOS INMIGRANTE;AV DE LOS INMIGRANTE;6
847;AV BOEDO            ;765;AV DERQUI           ;AV ASTURIAS         ;12
848;AV BELGRANO         ;4260;AV CALLAO           ;AV CORDOBA          ;3
849;AV ALVAREZ THOMAS   ;608;AV CORRIENTES       ;AV ASAMBLEA         ;11
850;AV ALVAREZ JONTE BAJ;4414;AV CABILDO          ;AV CALLAO           ;12
851;AV ALVAREZ THOMAS   ;1437;AV CURAPALIGUE      ;AV DEL BARCO CENTENE;2
852;AV DE LOS INMIGRANTE;4046;AV DE LOS ITALIANOS ;AV 9 DE JULIO       ;11
853;AV DE LOS CORRALES  ;1769;AV COSTANERA RAFAEL ;AV 9 DE JULIO       ;5
854;AV DE LAS CABALLERIZ;1219;AV DE LOS ITALIANOS ;AV CDORO MARTIN RIVA;5
855;AV ALVAREZ THOMAS   ;2261;AV ASTURIAS         ;AV ALVAREZ JONTE    ;1
856;AV DE LOS INCAS     ;2850;AV DE LAS CABALLERIZ;AV AVELLANEDA       ;8
857;AV ALVAREZ JONTE BAJ;1399;AV ALVAREZ JONTE BAJ;AV COLOMBIA         ;5
858;AV DE LOS INCAS     ;369;AV DE LAS CABALLERIZ;AV CASARES          ;1
859;AV CALLAO           ;1046;AV DEL CAMPO        ;AV CNL ROCA         ;3
860;AV DE LAS CABALLERIZ;1363;AV DEL BARCO CENTENE;AV DE LOS CONSTITUYE;6
861;AV CDORO MARTIN RIVA;1112;AV DE LA RABIDA     ;AV CABILDO          ;11
862;AV ALBARELLOS       ;250;AV DIRECTORIO       ;AV ALMAFUERTE       ;10
863;AV DERQUI           ;2817;AV DE LOS CONSTITUYE;AV BOEDO            ;3
864;AV DIRECTORIO       ;3189;AV ASAMBLEA         ;AV COSTANERA RAFAEL ;13
865;AV DEL BARCO CENTENE;3599;AV COBO             ;AV CNL CARDENAS     ;14
866;AV BRUIX            ;769;AV CHICLANA         ;AV CHICLANA         ;4
867;AV CURAPALIGUE      ;702;AV ALVAREZ THOMAS   ;AV ALBARELLOS       ;14
868;AV DE LAS CABALLERIZ;2357;AV DE LOS CONSTITUYE;AV CANONIGO MIGUEL C;8
869;AV DE LOS ITALIANOS ;4347;AV ALVEAR           ;AV CALLAO           ;9
870;AV ALVAREZ THOMAS   ;3372;AV CANONIGO MIGUEL C;AV DEL BARCO CENTENE;7
871;AV DIAZ VELEZ       ;1030;AV AMANCIO ALCORTA  ;AV BRUIX            ;13
872;AV DE MAYO          ;833;AV DEL FOMENTISTA   ;AV CASEROS          ;9
873;AV DERQUI           ;3700;AV CRISOLOGO LARRALD;AV ALMAFUERTE       ;10
874;AV DE LOS INCAS     ;4801;AV ALVEAR           ;AV DIAZ VELEZ       ;12
875;AV CURAPALIGUE      ;4902;AV DEL CAMPO        ;AV DIAZ VELEZ       ;9
876;AV CASARES          ;3876;AV CORDOBA          ;AV CHICLANA         ;10
877;AV CARLOS J FINLAY  ;3777;AV ALVAREZ THOMAS   ;AV CDORO MARTIN RIVA;2
878;AV DEL FOMENTISTA   ;3816;AV COMODORO PY      ;AV ALVEAR           ;2
879;AV CALLAO           ;918;AV CRISOLOGO LARRALD;AV AVELLANEDA       ;8
880;AV CRISOLOGO LARRALD;4192;AV ADOLFO BERRO     ;AV DERQUI           ;6
881;AV CNL DIAZ         ;4819;AV CALLAO           ;AV ALVAREZ JONTE    ;12
882;AV CHICLANA         ;3303;AV DE LOS CONSTITUYE;AV DE LAS CABALLERIZ;1
883;AV CHICLANA         ;2870;AV DEL BARCO CENTENE;AV CNL DIAZ         ;7
884;AV CARLOS J FINLAY  ;3631;AV ALVAREZ JONTE BAJ;AV CARLOS J FINLAY  ;1
885;AV DEL CAMPO        ;4878;AV ALVAREZ JONTE    ;AV ALVAREZ JONTE    ;10
886;AV DE LA RABIDA     ;4246;AV 27 DE FEBRERO    ;AV CHICLANA         ;14
887;AV ALBARELLOS       ;1262;AV COSTANERA INT HER;AV CNL NICETO VEGA  ;7
888;AV CNL DIAZ         ;4932;AV AMANCIO ALCORTA  ;AV AVELLANEDA       ;13
889;AV CABILDO          ;3415;AV CORBETA URUGUAY  ;AV ALVAREZ THOMAS   ;14
890;AV ADOLFO BERRO     ;3687;AV CORBETA URUGUAY  ;AV BOYACA           ;6
891;AV CRISOLOGO LARRALD;1820;AV DE LA RABIDA     ;AV DIRECTORIO       ;14
892;AV CHORROARIN       ;2408;AV COBO             ;AV BOEDO            ;11
893;AV COBO             ;1450;AV ASTURIAS         ;AV ALVAREZ THOMAS   ;5
894;AV 27 DE FEBRERO    ;1860;AV CHORROARIN       ;AV COLOMBIA         ;8
895;AV CDORO MARTIN RIVA;3491;AV DE LOS CORRALES  ;AV COSTANERA INT HER;1
896;AV BELGRANO         ;2272;AV BOYACA           ;AV CNL DIAZ         ;13
897;AV 9 DE JULIO       ;4512;AV COBO             ;AV DEL CAMPO        ;9
898;AV COSTANERA RAFAEL ;2168;AV BELGRANO         ;AV CORBETA URUGUAY  ;12
899;AV CASARES          ;4826;AV COBO             ;AV CASARES          ;8
900;AV ALMTE BROWN      ;3591;AV ALMAFUERTE       ;AV DE LOS CONSTITUYE;7
901;AV DEL BARCO CENTENE;4464;AV CDORO MARTIN RIVA;AV 9 DE JULIO       ;6
902;AV COBO             ;1352;AV COSTANERA INT HER;AV DE LOS INMIGRANTE;7
903;AV ASAMBLEA         ;4984;AV AVELLANEDA       ;AV BELGRANO         ;14
904;AV CURAPALIGUE      ;4137;AV DEL CAMPO        ;AV 9 DE JULIO       ;13
905;AV COSTANERA RAFAEL ;2581;AV ASTURIAS         ;AV BOEDO            ;4
906;AV ASTURIAS         ;2209;AV ALVAREZ JONTE BAJ;AV CHORROARIN       ;9
907;AV BRUIX            ;3581;AV COMODORO PY      ;AV ADOLFO BERRO     ;14
908;AV AMANCIO ALCORTA  ;145;AV CNL ROCA         ;AV ARGENTINA        ;8
909;AV DEL FOMENTISTA   ;2380;AV ALBARELLOS       ;AV ALVEAR           ;4
910;AV CABILDO          ;4757;AV ADOLFO BERRO     ;AV CNL DIAZ         ;10
911;AV ALVAREZ THOMAS   ;1242;AV DE MAYO          ;AV DE LAS CABALLERIZ;8
912;AV ADOLFO BERRO     ;4884;AV AVELLANEDA       ;AV ALVEAR           ;5
913;AV CARABOBO         ;4600;AV DARACT           ;AV DE LAS CABALLERIZ;10
914;AV CALLAO           ;3342;AV DEL LIBERTADOR   ;AV 9 DE JULIO       ;14
915;AV ALMAFUERTE       ;1583;AV DIAZ VELEZ       ;AV 27 DE FEBRERO    ;13
916;AV DIRECTORIO       ;503;AV 27 DE FEBRERO    ;AV CURAPALIGUE      ;1
917;AV DE LA RABIDA     ;2989;AV ADOLFO BERRO     ;AV CRISOLOGO LARRALD;1
918;AV 27 DE FEBRERO    ;4352;AV DE LOS ITALIANOS ;AV DE LOS CORRALES  ;10
919;AV DE LA RABIDA     ;4687;AV DE LOS INCAS     ;AV CHICLANA         ;7
920;AV AMANCIO ALCORTA  ;380;AV AVELLANEDA       ;AV CNL CARDENAS     ;2
921;AV BRUIX            ;174;AV DEL LIBERTADOR   ;AV CASEROS          ;10
922;AV CHICLANA         ;4578;AV CHORROARIN       ;AV ALVAREZ THOMAS   ;9
